"Taxonomic Group","Scientific Name","Common Name","NC Status","Federal Status","State Rank","Global Rank","County","County Status","
          Habitat Comment
        "
"Vascular Plant","Abies fraseri","Fraser Fir","W5","none","S2","G2","Buncombe","Current","spruce-fir forests"
"Lichen","Abrothallus hypotrachynae","A Lichen","W7","none","S1S3","GNR","Buncombe","Current","On thalli of parmelioid lichens (Hypotrachyna, Parmelinopsis) in humid, shaded forests"
"Natural Community","Acidic Cove Forest (High Elevation Subtype)","","","none","S2","G3G4Q","Buncombe","Current","null"
"Natural Community","Acidic Cove Forest (Typic Subtype)","","","none","S4","G5","Buncombe","Current","null"
"Vascular Plant","Aconitum reclinatum","Trailing Wolfsbane","SR-T","none","S3","G3G4","Buncombe","Current","rich coves, seepage slopes, boulderfields, rocky stream banks, mainly associated with mafic rocks"
"Liverwort","Acrobolbus ciliatus","A Liverwort","SC-V","none","S1","G3?","Buncombe","Current","on moist rocks, in spray zones of waterfalls in humid gorges or in high elevation spruce-fir forests"
"Vascular Plant","Adiantum capillus-veneris","Venus Hair Fern","T","none","S1","G5","Buncombe","Historical","coquina limestone (marl) outcrops, also adventitious on mortar of old stone walls in Wilmington, New Hanover County"
"Vascular Plant","Adlumia fungosa","Climbing Fumitory","SC-V","none","S2","G4","Buncombe","Current","coves and cliffs"
"Bird","Aegolius acadicus","Northern Saw-whet Owl","T","none","S2B,S2N","G5","Buncombe","Current","spruce-fir forests or mixed hardwood/spruce forests (for nesting) [breeding season only]"
"Vascular Plant","Agalinis decemloba (syn. Agalinis acuta)","Piedmont Gerardia","W1","none","S3","G3G4","Buncombe","Historical","dry, open sites"
"Vascular Plant","Agastache nepetoides","Yellow Giant-hyssop","SR-P","none","S1","G5","Buncombe","Current","oak--hickory forests, especially over mafic rocks"
"Freshwater Bivalve","Alasmidonta raveneliana","Appalachian Elktoe","E","E","S1","G1","Buncombe","Current","Tennessee drainages"
"Vascular Plant","Allium allegheniense","Allegheny Onion","SC-V","none","S1","G3?","Buncombe","Current","rock outcrops and woodlands over mafic rock at moderate to high elevations"
"Moss","Amblystegium humile (syn. Leptodictyum humile)","A Thin-net Moss","W7","none","S2?","G5T5","Buncombe","Current","wet substrates"
"Amphibian","Ambystoma talpoideum","Mole Salamander","SC","none","S2S3","G5","Buncombe","Current","breeds in fish-free semipermanent woodland ponds; forages in adjacent woodlands"
"Vascular Plant","Amelanchier sanguinea (syn. Amelanchier sanguinea var. sanguinea, Amelanchier sanguinea)","Roundleaf Serviceberry","W1","none","S3","G5","Buncombe","Current","thin soils around mafic rock outcrops at lower and middle elevations"
"Bird","Ammodramus savannarum","Grasshopper Sparrow","W1,W5","none","S3B,S1N","G5","Buncombe","Current","pastures and other grasslands [breeding season only]"
"Moss","Andreaea rothii","Roth's andreae moss","W7","none","S2?","G5","Buncombe","Current","wet rocks and seepages at high elevation"
"Moss","Andreaea rupestris","Rock Split Moss","W1","none","S2?","G5","Buncombe","Historical","rock, typically acidic"
"Amphibian","Aneides caryaensis","Hickory Nut Gorge Green Salamander","E","none","S1","G1","Buncombe","Current","shaded crevices and hollows of rock outcrops within cove forests"
"Liverwort","Aneura sharpii","A Liverwort","SR-T","none","S1","GNR","Buncombe","Current","in spray zones of waterfalls"
"Freshwater or Terrestrial Gastropod","Anguispira mordax","Appalachian Tigersnail","W3","none","S3S4","G4","Buncombe","Current","hardwood forests, especially around limestone outcrops"
"Vascular Plant","Anticlea glauca","White Camas","SR-P","none","S1","G5T4T5","Buncombe","Historical","calcareous rock outcrops"
"Reptile","Apalone spinifera spinifera","Eastern Spiny Softshell","SC","none","S1","G5T5","Buncombe","Current","large streams in the French Broad system"
"Vascular Plant","Arabidopsis lyrata ssp. lyrata (syn. Arabidopsis lyrata)","Lyre-leaf Rockcress","W1","none","S2","G5T5","Buncombe","Historical","around calcareous or mafic rock outcrops"
"Vascular Plant","Arabis adpressipilis","Hairy Rockcress","E","none","S1","G5T4","Buncombe","Current","thin soils around basic rock outcrops"
"Vascular Plant","Arisaema stewardsonii (syn. Arisaema triphyllum ssp. stewardsonii)","Bog Jack-in-the-pulpit","W1","none","S3","G5T5","Buncombe","Current","bogs"
"Moss","Atrichum altecristatum","A Catherinea Moss","W7","none","S2?","G5","Buncombe","Historical","open or semishaded soils, usually low elevations"
"Mayfly","Barbaetis benfieldi","Benfield's Bearded Small Minnow Mayfly","SR","none","S1","G2G4","Buncombe","Historical","Jacob Fork, French Broad River, Caney Fork"
"Liverwort","Bazzania nudicaulis","A Liverwort","SR-T","none","S2","G2G3","Buncombe","Current","on bark of Fraser Fir or on shaded rock in spruce-fir forests"
"Stonefly","Beloneuria stewarti","Piedmont Stone","SR","none","SH","G3","Buncombe","Historical","streams"
"Vascular Plant","Berberis canadensis","American Barberry","SC-V","none","S2","G3G4","Buncombe","Historical","open forests and glades on basic soils"
"Vascular Plant","Bidens mitis","Coastal Plain Tickseed","W7","none","S2?","G4?","Buncombe","Historical","freshwater marshes, brackish marshes, and mountain bogs"
"Sawfly, Wasp, Bee, or Ant","Bombus affinis","Rusty-patched Bumble Bee","SR","E","S1","G2","Buncombe","Historical","nests in abandoned mammal burrows, gathers nectar and pollen from a variety of flowering plants found in or near woodlands"
"Sawfly, Wasp, Bee, or Ant","Bombus fervidus","Yellow Bumble Bee","W3","none","S3S4","G3G4","Buncombe","Current","fields and other open habitats"
"Sawfly, Wasp, Bee, or Ant","Bombus pensylvanicus","American Bumble Bee","W3","none","S3S4","G3G4","Buncombe","Current","open habitats, fields"
"Sawfly, Wasp, Bee, or Ant","Bombus rufocinctus","Red-belted Bumble Bee","W3","none","SH","G5","Buncombe","Historical","prairies and meadows, rarely pine barrens and quarries"
"Moss","Brachydontium trichodes","Peak Moss","SR-D","none","S1","G3G4","Buncombe","Current","on moist rocks in spruce-fir forests"
"Moss","Brachytheciastrum velutinum (syn. Brachythecium velutinum)","Velvet Moss","W7","none","S1?","G5","Buncombe","Current","high elevation forests"
"Moss","Brachythecium oedipodium","Sprawling Grass Moss","W7","none","S2?","G5","Buncombe","Current","on humus, rocks in moist, shaded areas, spruce-fir forest"
"Moss","Brachythecium rotaeanum","Rota's Feather Moss","SR-D","none","S1","G5","Buncombe","Current","on bark or rock in cove forests"
"Vascular Plant","Bromus ciliatus","Fringed Brome","SC-V","none","S1","G5","Buncombe","Current","moist areas near high elevation grassy balds"
"Vascular Plant","Bromus nottowayanus","Nottoway Valley Brome","W7","none","S1?","G4G5","Buncombe","Current","rich woods"
"Vascular Plant","Buckleya distichophylla","Piratebush","T","none","S2","G3","Buncombe","Current","bluffs, dry slopes, forests on lower slopes"
"Vascular Plant","Calamagrostis cainii","Cain's Reedgrass","E","none","S1","G1","Buncombe","Current","high elevation rocky summits"
"Butterfly","Callophrys irus","Frosted Elfin","SR","none","S2","G3","Buncombe","Historical","open woods and borders, usually in dry situations; host plants -- lupines (Lupinus) and wild indigos (Baptisia)"
